"Onderwerp";"Regio's";"";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018"
"Bevolking aan het begin van de periode";"Aa en Hunze";"aantal";"25563";"25785";"25738";"25541";"25357";"25203";"25243";"25286";"25390"
"Bevolking aan het begin van de periode";"Aalburg";"aantal";"12614";"12685";"12749";"12774";"12846";"12922";"13038";"13067";"13153"
"Bevolking aan het begin van de periode";"Aalsmeer";"aantal";"29187";"30189";"30364";"30618";"30759";"31077";"31299";"31373";"31499"
"Bevolking aan het begin van de periode";"Aalten";"aantal";"27500";"27439";"27305";"27082";"27013";"26904";"26912";"27047";"26962"
"Bevolking aan het begin van de periode";"Ter Aar";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Abcoude";"aantal";"8764";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Achtkarspelen";"aantal";"28088";"28123";"28091";"28110";"28016";"27983";"28007";"27893";"27935"
"Bevolking aan het begin van de periode";"Alblasserdam";"aantal";"19014";"19208";"19467";"19643";"19801";"19845";"19955";"20008";"20014"
"Bevolking aan het begin van de periode";"Albrandswaard";"aantal";"24191";"24674";"25003";"25101";"25069";"25148";"24985";"25105";"25218"
"Bevolking aan het begin van de periode";"Alkemade";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Alkmaar";"aantal";"93861";"93936";"94269";"94505";"94866";"107106";"107615";"108373";"108470"
"Bevolking aan het begin van de periode";"Almelo";"aantal";"72602";"72599";"72757";"72729";"72459";"72291";"72425";"72479";"72629"
"Bevolking aan het begin van de periode";"Almere";"aantal";"188160";"190655";"193163";"195213";"196013";"196932";"198145";"200914";"203990"
"Bevolking aan het begin van de periode";"Alphen aan den Rijn";"aantal";"72534";"72680";"72853";"72913";"106785";"107396";"107960";"108915";"109682"
"Bevolking aan het begin van de periode";"Alphen-Chaam";"aantal";"9436";"9466";"9525";"9640";"9717";"9753";"9924";"10058";"10083"
"Bevolking aan het begin van de periode";"Altena";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Ambt Montfort";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Ameland";"aantal";"3501";"3503";"3526";"3525";"3578";"3590";"3611";"3633";"3654"
"Bevolking aan het begin van de periode";"Amerongen";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Amersfoort";"aantal";"144862";"146592";"148250";"149662";"150897";"152481";"153602";"154337";"155226"
"Bevolking aan het begin van de periode";"Amstelveen";"aantal";"80695";"81796";"83363";"84379";"85015";"87162";"88602";"89294";"89870"
"Bevolking aan het begin van de periode";"Amsterdam";"aantal";"767457";"779808";"790110";"799278";"810937";"821752";"833624";"844947";"854047"
"Bevolking aan het begin van de periode";"Andijk";"aantal";"6504";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Angerlo";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Anna Paulowna";"aantal";"14234";"14260";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Apeldoorn";"aantal";"155726";"156199";"156961";"157315";"157545";"158099";"159025";"160047";"161156"
"Bevolking aan het begin van de periode";"Appingedam";"aantal";"12032";"12090";"12053";"12053";"12064";"12011";"12001";"11971";"11801"
"Bevolking aan het begin van de periode";"Arcen en Velden";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Arnhem";"aantal";"147018";"148070";"149271";"149827";"150823";"152293";"153818";"155699";"157223"
"Bevolking aan het begin van de periode";"Assen";"aantal";"66857";"67177";"67208";"67204";"67190";"67165";"67061";"67551";"67708"
"Bevolking aan het begin van de periode";"Asten";"aantal";"16335";"16296";"16404";"16392";"16440";"16559";"16580";"16714";"16719"
"Bevolking aan het begin van de periode";"Axel";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Baarle-Nassau";"aantal";"6703";"6704";"6722";"6699";"6612";"6599";"6611";"6657";"6799"
"Bevolking aan het begin van de periode";"Baarn";"aantal";"24317";"24379";"24352";"24277";"24314";"24406";"24521";"24529";"24630"
"Bevolking aan het begin van de periode";"Barendrecht";"aantal";"46449";"46831";"47053";"47371";"47377";"47521";"47861";"48344";"48477"
"Bevolking aan het begin van de periode";"Barneveld";"aantal";"52490";"53026";"53521";"53751";"54152";"54703";"55441";"56376";"57339"
"Bevolking aan het begin van de periode";"Bathmen";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Bedum";"aantal";"10447";"10495";"10508";"10553";"10494";"10441";"10433";"10479";"10475"
"Bevolking aan het begin van de periode";"Beek (L.)";"aantal";"16579";"16548";"16457";"16367";"16271";"16214";"16068";"15951";"15895"
"Bevolking aan het begin van de periode";"Beekdaelen";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Beemster";"aantal";"8584";"8573";"8719";"8785";"8910";"8903";"8958";"9205";"9550"
"Bevolking aan het begin van de periode";"Beesel";"aantal";"13902";"13844";"13742";"13688";"13617";"13511";"13388";"13405";"13444"
"Bevolking aan het begin van de periode";"Bellingwedde";"aantal";"9261";"9402";"9283";"8985";"8920";"9154";"8971";"8919";""
"Bevolking aan het begin van de periode";"Bemmel";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Bennebroek";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Berg en Dal";"aantal";"";"";"";"";"";"";"34574";"34764";"34748"
"Bevolking aan het begin van de periode";"Bergambacht";"aantal";"9729";"9801";"9908";"9938";"9970";"";"";"";""
"Bevolking aan het begin van de periode";"Bergeijk";"aantal";"18061";"18073";"18123";"18191";"18256";"18209";"18253";"18342";"18398"
"Bevolking aan het begin van de periode";"Bergen (L.)";"aantal";"13391";"13350";"13286";"13275";"13237";"13152";"13090";"13095";"13106"
"Bevolking aan het begin van de periode";"Bergen (NH.)";"aantal";"30985";"30868";"30682";"30333";"30076";"30005";"29943";"29844";"29941"
"Bevolking aan het begin van de periode";"Bergen op Zoom";"aantal";"65845";"66074";"66130";"66287";"66419";"66320";"66237";"66164";"66354"
"Bevolking aan het begin van de periode";"Bergh";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Bergschenhoek";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Berkel en Rodenrijs";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Berkelland";"aantal";"44978";"44863";"44911";"44769";"44666";"44364";"44437";"44238";"44032"
"Bevolking aan het begin van de periode";"Bernheze";"aantal";"29655";"29728";"29802";"29775";"29690";"29729";"29880";"30252";"30550"
"Bevolking aan het begin van de periode";"Bernisse";"aantal";"12455";"12404";"12426";"12398";"12368";"";"";"";""
"Bevolking aan het begin van de periode";"Best";"aantal";"28953";"28810";"28696";"28637";"28617";"28737";"28976";"29180";"29497"
"Bevolking aan het begin van de periode";"Beuningen";"aantal";"25481";"25507";"25433";"25324";"25288";"25282";"25289";"25424";"25798"
"Bevolking aan het begin van de periode";"Beverwijk";"aantal";"38883";"39329";"39844";"40070";"40093";"40182";"40318";"40709";"41077"
"Bevolking aan het begin van de periode";"het Bildt";"aantal";"10908";"10937";"10798";"10646";"10626";"10592";"10525";"10493";""
"Bevolking aan het begin van de periode";"De Bilt";"aantal";"42017";"42049";"42079";"42032";"42036";"42169";"42375";"42754";"42846"
"Bevolking aan het begin van de periode";"Binnenmaas";"aantal";"28926";"28967";"28962";"28964";"28710";"28656";"28771";"29122";"29098"
"Bevolking aan het begin van de periode";"Bladel";"aantal";"19177";"19386";"19582";"19635";"19834";"19869";"19966";"20063";"20144"
"Bevolking aan het begin van de periode";"Blaricum";"aantal";"8955";"8959";"9038";"9107";"9094";"9312";"9622";"10201";"10795"
"Bevolking aan het begin van de periode";"Bleiswijk";"aantal";"";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Bloemendaal";"aantal";"22023";"22039";"22056";"22195";"22059";"22256";"22296";"22826";"23208"
"Bevolking aan het begin van de periode";"Boarnsterhim";"aantal";"19357";"19298";"19380";"19505";"";"";"";"";""
"Bevolking aan het begin van de periode";"Bodegraven";"aantal";"19447";"";"";"";"";"";"";"";""
"Bevolking aan het begin van de periode";"Bodegraven-Reeuwijk";"aantal";"";"32728";"32834";"32817";"32910";"33208";"33451";"33733";"33948"
"Bevolking aan het begin van de periode";"Boekel";"aantal";"9772";"9865";"9967";"10062";"10089";"10119";"10254";"10414";"10502"
