"Perioden";"Regio's";"Binnen gemeenten verhuisde personen/Naar geslacht en leeftijd (31 december)/Totaal mannen en vrouwen/15 tot 20 jaar (aantal)";"Binnen gemeenten verhuisde personen/Naar geslacht en leeftijd (31 december)/Totaal mannen en vrouwen/20 tot 25 jaar (aantal)";"Tussen gemeenten verhuisde personen/Gevestigd in de gemeente/Naar geslacht en leeftijd (31 december)/Totaal mannen en vrouwen/15 tot 20 jaar (aantal)";"Tussen gemeenten verhuisde personen/Gevestigd in de gemeente/Naar geslacht en leeftijd (31 december)/Totaal mannen en vrouwen/20 tot 25 jaar (aantal)";"Tussen gemeenten verhuisde personen/Vertrokken uit de gemeente/Naar geslacht en leeftijd (31 december)/Totaal mannen en vrouwen/15 tot 20 jaar (aantal)";"Tussen gemeenten verhuisde personen/Vertrokken uit de gemeente/Naar geslacht en leeftijd (31 december)/Totaal mannen en vrouwen/20 tot 25 jaar (aantal)"
"2018";"Aa en Hunze";50;59;72;178;123;246
"2018";"Aalburg";33;49;18;58;31;89
"2018";"Aalsmeer";71;80;65;154;74;175
"2018";"Aalten";70;123;31;136;80;134
"2018";"Ter Aar";;;;;;
"2018";"Aardenburg";;;;;;
"2018";"Aarle-Rixtel";;;;;;
"2018";"Abcoude";;;;;;
"2018";"Achtkarspelen";85;156;76;159;87;186
"2018";"Adorp";;;;;;
"2018";"Aduard";;;;;;
"2018";"Akersloot";;;;;;
"2018";"Alblasserdam";30;48;44;114;51;108
"2018";"Albrandswaard";25;29;38;136;61;192
"2018";"Alkemade";;;;;;
"2018";"Alkmaar";281;657;263;750;348;708
"2018";"Almelo";352;689;197;517;241;444
"2018";"Almere";943;1588;475;1146;481;1120
"2018";"Alphen aan den Rijn";355;657;257;628;276;588
"2018";"Alphen en Riel";;;;;;
"2018";"Alphen-Chaam";16;21;24;62;29;82
"2018";"Ambt Delden";;;;;;
"2018";"Ambt Montfort";;;;;;
"2018";"Ameland";11;36;28;74;49;32
"2018";"Amerongen";;;;;;
"2018";"Amersfoort";581;1112;339;1241;432;1092
"2018";"Ammerzoden";;;;;;
"2018";"Amstelveen";137;271;324;1002;278;1027
"2018";"Amsterdam";2598;11685;2125;9684;1238;6449
"2018";"Andijk";;;;;;
"2018";"Angerlo";;;;;;
"2018";"Anloo";;;;;;
"2018";"Anna Paulowna";;;;;;
"2018";"Apeldoorn";817;1376;420;908;537;961
"2018";"Appingedam";32;49;39;93;42;100
"2018";"Arcen en Velden";;;;;;
"2018";"Arnemuiden";;;;;;
"2018";"Arnhem";797;2247;863;2335;601;1998
"2018";"Assen";352;579;241;528;279;523
"2018";"Asten";36;52;30;93;41;105
"2018";"Avereest";;;;;;
"2018";"Axel";;;;;;
"2018";"Baarle-Nassau";11;18;11;30;14;32
"2018";"Baarn";48;103;39;130;69;154
"2018";"Baexem";;;;;;
"2018";"Baflo";;;;;;
"2018";"Bakel en Milheeze";;;;;;
"2018";"Barendrecht";84;87;125;273;134;381
"2018";"Barneveld";209;402;165;342;212;406
"2018";"Barsingerhorn";;;;;;
"2018";"Bathmen";;;;;;
"2018";"Bedum";28;33;23;64;28;96
"2018";"Beegden";;;;;;
"2018";"Beek (L.)";30;30;26;106;65;119
"2018";"Beek en Donk";;;;;;
"2018";"Beemster";16;13;34;50;34;55
"2018";"Beers";;;;;;
"2018";"Beerta";;;;;;
"2018";"Beesel";19;35;36;81;38;67
"2018";"Beilen";;;;;;
"2018";"Belfeld";;;;;;
"2018";"Bellingwedde";;;;;;
"2018";"Bemmel";;;;;;
"2018";"Bennebroek";;;;;;
"2018";"Benschop";;;;;;
"2018";"Benthuizen";;;;;;
"2018";"Berg en Dal";70;109;95;223;119;286
"2018";"Bergambacht";;;;;;
"2018";"Bergeijk";48;69;37;118;70;118
"2018";"Bergen (L.)";26;40;25;59;35;71
"2018";"Bergen (NH.)";100;81;76;127;91;206
"2018";"Bergen op Zoom";240;442;137;369;163;396
"2018";"Bergeyk";;;;;;
"2018";"Bergh";;;;;;
"2018";"Berghem";;;;;;
"2018";"Bergschenhoek";;;;;;
"2018";"Berkel en Rodenrijs";;;;;;
"2018";"Berkel-Enschot";;;;;;
"2018";"Berkelland";115;199;73;202;129;262
"2018";"Berlicum";;;;;;
"2018";"Bernheze";74;88;58;169;76;208
"2018";"Bernisse";;;;;;
"2018";"Best";62;116;53;157;79;186
"2018";"Beuningen";51;64;48;178;87;241
"2018";"Beverwijk";79;137;61;275;89;238
"2018";"Bierum";;;;;;
"2018";"het Bildt";;;;;;
"2018";"De Bilt";63;74;89;337;193;467
"2018";"Binnenmaas";48;90;67;143;63;145
"2018";"Bladel";44;71;22;92;45;105
"2018";"Bladel en Netersel";;;;;;
"2018";"Blaricum";16;7;36;76;55;90
"2018";"Bleiswijk";;;;;;
"2018";"Bloemendaal";52;15;72;135;133;256
"2018";"Boarnsterhim";;;;;;
"2018";"Bodegraven";;;;;;
"2018";"Bodegraven-Reeuwijk";93;124;65;207;80;230
"2018";"Boekel";26;33;21;55;26;65
"2018";"Ten Boer";14;8;18;52;37;65
"2018";"Bolsward";;;;;;
"2018";"Borculo";;;;;;
"2018";"Borger";;;;;;
"2018";"Borger-Odoorn";53;84;82;190;141;243
"2018";"Born";;;;;;
"2018";"Borne";43;62;43;144;80;177
"2018";"Borsele";41;81;51;164;106;199
"2018";"Boskoop";;;;;;
"2018";"Boxmeer";59;143;108;211;139;224
"2018";"Boxtel";100;150;110;168;129;216
"2018";"Brakel";;;;;;
"2018";"Breda";820;2353;766;2220;524;2131
"2018";"Brederwiede";;;;;;
"2018";"Breukelen";;;;;;
"2018";"Brielle";33;66;58;108;50;114
"2018";"Broek in Waterland";;;;;;
"2018";"Broekhuizen";;;;;;
"2018";"Bronckhorst";66;91;70;191;137;255
"2018";"Brouwershaven";;;;;;
"2018";"Bruinisse";;;;;;
"2018";"Brummen";30;86;33;122;79;173
"2018";"Brunssum";52;106;87;217;95;204
"2018";"Budel";;;;;;
"2018";"Bunnik";17;21;53;103;68;168
"2018";"Bunschoten";66;143;34;58;32;67
"2018";"Buren";48;74;59;152;97;171
"2018";"Bussum";;;;;;
"2018";"Callantsoog";;;;;;
"2018";"Capelle aan den IJssel";110;173;226;454;231;542
"2018";"Castricum";70;123;56;173;79;233
"2018";"Chaam";;;;;;
"2018";"Coevorden";124;147;127;250;175;247
"2018";"Cothen";;;;;;
"2018";"Cranendonck";38;69;30;77;138;148
"2018";"Cromstrijen";19;31;30;59;28;91
"2018";"Cuijk";69;129;53;158;71;178
"2018";"Cuijk en Sint Agatha";;;;;;
"2018";"Culemborg";86;134;50;179;97;197
"2018";"Dalen";;;;;;
"2018";"Dalfsen";90;106;73;161;98;178
"2018";"Dantumadeel";;;;;;
"2018";"Dantumadiel";47;59;40;114;63;121
"2018";"Delft";330;1515;951;1869;233;1551
"2018";"Delfzijl";78;154;68;194;109;210
"2018";"Denekamp";;;;;;
"2018";"Deurne";64;158;139;166;125;165
"2018";"Deventer";528;1104;281;841;389;802
"2018";"Didam";;;;;;
"2018";"Diemen";32;90;165;663;96;623
"2018";"Diepenheim";;;;;;
"2018";"Diepenveen";;;;;;
"2018";"Diessen";;;;;;
"2018";"Diever";;;;;;
"2018";"Dinkelland";49;89;41;100;65;137
"2018";"Dinteloord en Prinsenland";;;;;;
"2018";"Dinxperlo";;;;;;
"2018";"Dirksland";;;;;;
"2018";"Dodewaard";;;;;;
"2018";"Doesburg";32;37;20;54;59;100
"2018";"Doetinchem";229;338;183;406;220;399
"2018";"Domburg";;;;;;
"2018";"Dongen";76;92;35;139;70;166
