A'damse code[1];CBS-code;Provincie;Gemeente;Alternatieve namen;Burgemeesters;Bestaan vanaf;Ontstaan uit;Bestaan tot;Opgegaan in;Opmerkingen
10531;1000 (647);Zeeland;Aagtekerke;Aagtekerk;Lijst;;;01-07-1966;Mariekerke;
11084;0738;Noord-Brabant;Aalburg;;Lijst;01-01-1973;"Eethen; Veen; Wijk en Aalburg";01-01-2019;Altena;
10228;;Gelderland;Aalst (Gelderland);;Lijst;;;01-01-1818;Poederoijen;
11423;1001;Noord-Brabant;Aalst (Noord-Brabant);;Lijst;;;01-01-1923;Waalre;
11020;0648;Zeeland[2];Aardenburg;;Lijst;;;01-01-1995;Sluis-Aardenburg;Viel van 14-02-1814 tot 28-04-1814 onder speciaal bestuur, daarna tot 19-09-1814 onder de provincie Brabant
11242;1002;Zuid-Holland;Aarlanderveen;Aarlanderveen en Pulmot;Lijst;;;01-01-1918;Alphen aan den Rijn;
10757;0739;Noord-Brabant;Aarle-Rixtel;"Aarle; Aarle Rixtel; Aarle-Rikstel";Lijst;;;01-01-1997;Laarbeek;
10439;0359;Noord-Holland;Abbekerk;"Abbekerk en Lambertschaag; Abbekerk en Lambertshage";Lijst;;;01-01-1979;Noorder-Koggenland;
11026;0481;Zuid-Holland;Abbenbroek;;Lijst;;;01-01-1980;Bernisse;
10712;;Utrecht[2];Abcoude (Oud);;Lijst;;;01-01-1818;Abcoude-Proostdij (naamswijziging);Viel tot 19-09-1814 onder de provincie Noord-Holland
10712;0305;Utrecht;Abcoude;;Lijst;01-05-1941;Abcoude-Baambrugge, Abcoude-Proostdij;01-01-2011;De Ronde Venen;
11184;1003;Utrecht;Abcoude-Baambrugge;"Abcoude Baambrugge; Abkoude-Baambrugge; Abkoude-Baambrug; Baambrugge";Lijst;01-01-1818;Baambrugge (naamswijziging);01-05-1941;Abcoude;
10712;1004;Utrecht;Abcoude-Proostdij;"Abcoude Proosdij; Abcoude Proostdij; Abcoude, Proostdij en Aasdom; Abcoude-Proosdij; Abcoude-Proostdij en Aasdom; Abkoude-Proosdij";Lijst;01-01-1818;Abcoude (Oud) (naamswijziging);01-05-1941;Abcoude;
11068;;Utrecht;Abstede;;Lijst;01-01-1818;Utrecht;01-08-1823;Utrecht;
10946;1301;Zuid-Holland;Abtsregt;Absregt;Lijst;01-04-1817;Pijnacker;01-09-1855;Vrijenban;
10141;1302;Utrecht;Achthoven (Montfoort);;Lijst;01-01-1818;Linschoten;08-09-1857;Linschoten;
10524;1005;Utrecht;Achttienhoven (Utrecht);;Lijst;01-01-1818;Westbroek;01-01-1954;Westbroek;
